series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2025-05-01,M,monthly,8751446.4951,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2025-06-01,M,monthly,8988361.2522,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2025-07-01,M,monthly,8976701.8164,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2025-08-01,M,monthly,9036278.2546,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2025-09-01,M,monthly,9144510.771,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2025-10-01,M,monthly,9154305.3992,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2025-11-01,M,monthly,9219067.3413,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2025-12-01,M,monthly,9469224.224,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2026-01-01,M,monthly,9487187.4946,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2026-02-01,M,monthly,9447034.484,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2026-03-01,M,monthly,9658759.711,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2026-04-01,M,monthly,9566972.7353,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2026-05-01,M,monthly,9699425.6183,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2026-06-01,M,monthly,9716840.4697,IDR billion
bi_seki.deposits_by_owner.total,0000,Indonesia (national),2026-07-01,M,monthly,9666897.4147,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2010-01-01,Q,quarterly,1642356.3,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2010-04-01,Q,quarterly,1709132.0,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2010-07-01,Q,quarterly,1775109.9,IDR billion
bi_seki.gdp_expenditure_constant.gdp,0000,Indonesia (national),2010-10-01,Q,quarterly,1737534.9,IDR billion
