series_id,geo_id,geo_name,ref_date,ref_period,frequency,value,unit
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2020-02-01,M,monthly,112.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2020-03-01,M,monthly,109.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2020-04-01,M,monthly,83.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2020-05-01,M,monthly,73.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2020-06-01,M,monthly,66.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2020-07-01,M,monthly,68.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2020-08-01,M,monthly,71.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2020-09-01,M,monthly,69.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2020-10-01,M,monthly,69.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2020-11-01,M,monthly,73.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2020-12-01,M,monthly,78.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2021-01-01,M,monthly,76.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2021-02-01,M,monthly,76.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2021-03-01,M,monthly,80.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2021-04-01,M,monthly,84.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2021-05-01,M,monthly,87.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2021-06-01,M,monthly,91.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2021-07-01,M,monthly,77.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2021-08-01,M,monthly,74.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2021-09-01,M,monthly,80.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2021-10-01,M,monthly,88.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2021-11-01,M,monthly,93.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2021-12-01,M,monthly,91.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2022-01-01,M,monthly,94.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2022-02-01,M,monthly,94.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2022-03-01,M,monthly,92.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2022-04-01,M,monthly,94.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2022-05-01,M,monthly,110.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2022-06-01,M,monthly,104.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2022-07-01,M,monthly,102.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2022-08-01,M,monthly,103.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2022-09-01,M,monthly,102.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2022-10-01,M,monthly,107.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2022-11-01,M,monthly,104.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2022-12-01,M,monthly,106.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2023-01-01,M,monthly,106.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2023-02-01,M,monthly,104.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2023-03-01,M,monthly,105.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2023-04-01,M,monthly,107.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2023-05-01,M,monthly,110.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2023-06-01,M,monthly,107.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2023-07-01,M,monthly,108.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2023-08-01,M,monthly,111.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2023-09-01,M,monthly,109.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2023-10-01,M,monthly,109.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2023-11-01,M,monthly,110.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2023-12-01,M,monthly,113.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2024-01-01,M,monthly,112.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2024-02-01,M,monthly,110.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2024-03-01,M,monthly,111.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2024-04-01,M,monthly,116.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2024-05-01,M,monthly,112.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2024-06-01,M,monthly,111.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2024-07-01,M,monthly,111.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2024-08-01,M,monthly,111.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2024-09-01,M,monthly,111.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2024-10-01,M,monthly,107.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2024-11-01,M,monthly,108.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2024-12-01,M,monthly,111.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2025-01-01,M,monthly,110.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2025-02-01,M,monthly,113.7,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2025-03-01,M,monthly,110.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2025-04-01,M,monthly,113.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2025-05-01,M,monthly,104.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2025-06-01,M,monthly,105.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2025-07-01,M,monthly,106.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2025-08-01,M,monthly,105.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2025-09-01,M,monthly,103.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2025-10-01,M,monthly,107.5,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2025-11-01,M,monthly,109.4,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2025-12-01,M,monthly,107.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2026-01-01,M,monthly,111.8,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2026-02-01,M,monthly,112.0,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2026-03-01,M,monthly,109.2,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2026-04-01,M,monthly,112.6,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2026-05-01,M,monthly,108.3,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2026-06-01,M,monthly,105.9,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2026-07-01,M,monthly,104.1,index
bi_consumer_survey.durable_goods_purchase,0000,Indonesia (national),2026-08-01,M,monthly,106.1,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2012-01-01,M,monthly,165.5,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2012-02-01,M,monthly,164.1,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2012-03-01,M,monthly,175.5,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2012-04-01,M,monthly,172.9,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2012-05-01,M,monthly,170.3,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2012-06-01,M,monthly,172.4,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2012-07-01,M,monthly,177.5,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2012-08-01,M,monthly,163.5,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2012-09-01,M,monthly,163.0,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2012-10-01,M,monthly,166.0,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2012-11-01,M,monthly,164.3,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2012-12-01,M,monthly,161.8,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2013-01-01,M,monthly,161.5,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2013-02-01,M,monthly,161.6,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2013-03-01,M,monthly,163.1,index
bi_consumer_survey.expectation.consumption_spend_3m,0000,Indonesia (national),2013-04-01,M,monthly,164.1,index
